epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
66,579.84,0.62003,0.91677,0.39109,0.92259,0,0.87903,0.72399,0.77524,0.58711,0.87008,0.71595,0.74742,0.53673,0.64166,1.35246,0.51532,1.02889,0,0.0067825,0.0067825,0.0067825
67,629.844,0.62563,0.93785,0.39706,0.92667,0,0.9061,0.7171,0.78701,0.59575,0.89854,0.7092,0.76313,0.53837,0.64568,1.29901,0.56401,1.00291,0,0.006733,0.006733,0.006733
68,679.755,0.62062,0.92534,0.39457,0.92805,0,0.86868,0.75205,0.79186,0.58734,0.86844,0.73874,0.76277,0.53073,0.66551,1.33204,0.53727,1.02049,0,0.0066835,0.0066835,0.0066835
69,727.499,0.61486,0.91361,0.39115,0.92122,0,0.90454,0.72615,0.804,0.59579,0.90363,0.71854,0.7848,0.54384,0.66205,1.40009,0.50491,1.02135,0,0.006634,0.006634,0.006634
70,775.717,0.63014,0.92686,0.39567,0.92668,0,0.91594,0.71611,0.77838,0.59297,0.9105,0.71464,0.76027,0.53911,0.64385,1.35457,0.55776,1.01971,0,0.0065845,0.0065845,0.0065845
71,823.143,0.61909,0.92853,0.39142,0.91947,0,0.91855,0.7235,0.77849,0.57748,0.91064,0.71808,0.76296,0.52162,0.67085,1.45132,0.53637,1.03079,0,0.006535,0.006535,0.006535
72,871.536,0.61538,0.91465,0.38542,0.91879,0,0.87458,0.71402,0.78308,0.57895,0.87523,0.69577,0.75793,0.52005,0.67708,1.40812,0.56467,1.03701,0,0.0064855,0.0064855,0.0064855
73,919.529,0.61282,0.91097,0.39064,0.92098,0,0.917,0.70742,0.78916,0.59066,0.90357,0.69642,0.75482,0.52334,0.63972,1.34921,0.5878,1.0106,0,0.006436,0.006436,0.006436
74,967.966,0.61824,0.91903,0.38933,0.92216,0,0.89093,0.72518,0.78607,0.57417,0.8816,0.71841,0.76447,0.52305,0.68545,1.5172,0.50391,1.04519,0,0.0063865,0.0063865,0.0063865
75,1016.71,0.61015,0.91364,0.38736,0.91944,0,0.90158,0.74237,0.81793,0.61354,0.9051,0.71364,0.78688,0.5446,0.65538,1.26892,0.53777,1.00393,0,0.006337,0.006337,0.006337
76,1066.86,0.61213,0.9117,0.3883,0.91983,0,0.90244,0.71841,0.76754,0.59062,0.90462,0.70499,0.75006,0.53148,0.63004,1.40383,0.52632,1.01464,0,0.0062875,0.0062875,0.0062875
77,1115.63,0.60502,0.90737,0.38187,0.91813,0,0.91935,0.72941,0.81013,0.61005,0.91242,0.71969,0.77852,0.54868,0.6213,1.37998,0.51352,0.98494,0,0.006238,0.006238,0.006238
78,1163.85,0.59992,0.90164,0.38121,0.91654,0,0.91867,0.72038,0.79239,0.59235,0.91606,0.71454,0.77513,0.53718,0.64917,1.36513,0.51455,1.01379,0,0.0061885,0.0061885,0.0061885
79,1212.44,0.60198,0.89172,0.37754,0.91591,0,0.87246,0.73302,0.79727,0.6046,0.88452,0.71152,0.7697,0.5415,0.63698,1.3902,0.50958,1.01093,0,0.006139,0.006139,0.006139
80,1258.76,0.60912,0.9016,0.38158,0.91804,0,0.88688,0.72793,0.78999,0.58624,0.88376,0.72317,0.76983,0.54001,0.65735,1.41236,0.5392,1.02227,0,0.0060895,0.0060895,0.0060895
81,1309.89,0.60602,0.90536,0.38406,0.91487,0,0.94209,0.71792,0.80522,0.60273,0.9282,0.71398,0.78215,0.55266,0.62474,1.28077,0.49825,0.99906,0,0.00604,0.00604,0.00604
82,1358.11,0.59488,0.88437,0.37789,0.91449,0,0.88154,0.74249,0.80162,0.61017,0.88529,0.73302,0.78043,0.55852,0.62693,1.43783,0.5102,1.00862,0,0.0059905,0.0059905,0.0059905
83,1405.74,0.59145,0.8962,0.376,0.91362,0,0.91878,0.72186,0.79096,0.60357,0.90854,0.71267,0.75909,0.54467,0.62827,1.3387,0.54338,1.00491,0,0.005941,0.005941,0.005941
84,1453.21,0.59402,0.89029,0.3775,0.91098,0,0.92146,0.70651,0.77003,0.58031,0.90176,0.70249,0.74695,0.52631,0.63754,1.27892,0.56754,1.00897,0,0.0058915,0.0058915,0.0058915
85,1501.07,0.59038,0.88794,0.37173,0.91048,0,0.92206,0.73466,0.79343,0.61484,0.91217,0.72259,0.7706,0.55895,0.60757,1.21224,0.50567,0.98981,0,0.005842,0.005842,0.005842
86,1550.39,0.58668,0.87485,0.36984,0.90908,0,0.91752,0.75353,0.83456,0.6299,0.90305,0.74106,0.79937,0.57218,0.60956,1.28784,0.47771,0.98798,0,0.0057925,0.0057925,0.0057925
87,1597.95,0.59178,0.89378,0.37266,0.9088,0,0.90534,0.74762,0.82554,0.62014,0.90602,0.73563,0.80323,0.56741,0.62078,1.45018,0.45507,0.9817,0,0.005743,0.005743,0.005743
88,1647.23,0.59146,0.8883,0.37313,0.91061,0,0.92526,0.74138,0.83309,0.62789,0.9117,0.73039,0.80404,0.57338,0.60269,1.25425,0.46292,0.98571,0,0.0056935,0.0056935,0.0056935
89,1693.68,0.58884,0.87836,0.3728,0.91226,0,0.91026,0.72104,0.79352,0.61182,0.90464,0.71607,0.77716,0.55676,0.60678,1.31528,0.49258,0.99511,0,0.005644,0.005644,0.005644
